itemID,answer
AY.SY.GTE.I03,4
AY.SY.GTE.I02,3
AY.AT.GTE.I09,1
AY.SY.OTE.I01,4
AY.SY.GTE.I01,4
AY.SY.GTE.I04,4
AY.MN.GTE.I02,5
AY.SE.GTE.I06,5
AY.MN.GTE.I04,4
AY.MN.GTE.I03,5
AY.MN.GTE.I01,5
AY.SE.GTE.I03,2
AY.SE.GTE.I02,5
AY.SE.GTE.I04,5
AY.SE.GTE.I01,5
AY.SE.GTE.I05,4
AY.MN.GTE.I05,3
AY.CT.GTE.I04,4
AY.CT.GTE.I01,3
AY.CT.GTE.I06,3
AY.CT.OTE.I02,2
AY.CT.GTE.I05,7
AY.CT.GTE.I03,3
AY.SY.GTE.I05,3
AY.CT.GTE.I02,5
AY.CT.OTE.I01,5
AY.AT.GTE.I08,6
AY.AT.GTE.I01,4
AY.CT.GTE.I07,3
AY.AT.GTE.I03,5
AY.AT.GTE.I07,1
AY.AT.GTE.I02,7
AY.AT.GTE.I04,6
AY.AT.GTE.I05,4
AY.AT.GTE.I06,5
AY.SY.TTE.I01,NaN
AY.SY.OTE.I02,NaN
AY.CT.TTE.I01,NaN
 AY.C01 ,0
 AY.C02 ,0
 AY.C03 ,0
 AY.C04 ,0
 AY.C05 ,0
 AY.C06 ,0
 AY.C07 ,0
 AY.C08 ,0
 AY.C09 ,0
 AY.C10 ,1
