itemID,answer
FY.LY.GTE.I03,7
FY.LY.GTE.I02,1
FY.LY.GTE.I06,7
FY.RR.GTE.I06,1
FY.LY.TTE.I01,7
FY.LY.GTE.I04,7
FY.LY.GTE.I05,1
FY.LY.GTE.I01,7
FY.RR.GTE.I05,7
FY.RR.GTE.I03,7
FY.FY.GTE.I06,1
FY.RR.GTE.I01,1
FY.RR.GTE.I02,7
FY.RR.GTE.I04,7
FY.WD.TTE.I01,1
FY.WD.GTE.I01,1
FY.WD.GTE.I02,1
FY.WD.GTE.I05,1
FY.LY.GTE.I07,1
FY.WD.GTE.I04,7
FY.WD.GTE.I03,1
FY.WD.GTE.I06,1
FY.FY.GTE.I04,7
FY.FY.GTE.I01,7
FY.WD.GTE.I07,1
FY.FY.GTE.I05,7
FY.FY.GTE.I02,1
FY.FY.GTE.I03,7
FY.LY.OTE.I01,NaN
FY.LY.OTE.I02,NaN
FY.LY.OTE.I03,NaN
FY.WD.OTE.I01,NaN
 FY.C01 ,0
 FY.C02 ,0
 FY.C03 ,0
 FY.C04 ,0
 FY.C05 ,0
 FY.C06 ,0
